Date,Day,Day,Period,Location,Approx Time,People in Room,Obstructions,Comments
2020/11/13,Fri,d01,-,-,-,-,-,Test
2020/11/17,Tue,d02,p02,l01 to l08,5:40-6:00pm,2 on Tables 1 and 3,Closed door,
2020/11/17,Tue,d02,p03,l01 to l08,6:00-6:30pm,2 on Tables 1 and 3,Closed door,
2020/11/18,Wed,d03,p01,l01 to l08,3:00-3:20pm,2 on Tables 1 and 3,Closed door,
2020/11/18,Wed,d03,p02,l01 to l08,3:20-3:40pm,2 on Tables 1 and 3,Closed door,
2020/11/18,Wed,d03,p03,l01 to l08,3:40-4:00pm,2 on Tables 1 and 3,Closed door,
2020/11/18,Wed,d03,p04,l01 to l08,4:00-4:20pm,2 on Tables 1 and 3,Closed door,
2020/11/20,Fri,d04,p01,l01 to l08,4:40-5:00pm,2 on Tables 1 and 3,Closed door,
2020/11/20,Fri,d04,p02,l01 to l08,5:00-5:20pm,2 on Tables 1 and 3,Closed door,
2020/11/20,Fri,d04,p03,l01 to l08,6:20-6:40pm,2 on Tables 1 and 3,Closed door; Box obstruction between TX/RX; Chair near loc05-08,
2020/11/20,Fri,d04,p04,l01 to l08,6:40-7:00pm,2 on Tables 1 and 3,Closed door; Box obstruction between TX/RX; Chair near loc05-08,
2020/11/25,Wed,d05,p01,l01 to l08,6:30-7:00pm,1 on Table 1,Closed door,
2020/11/25,Wed,d05,p02,l01 to l08,7:00-7:30pm,1 on Table 1,Closed door,
2020/11/30,Mon,d06,p01,l01 to l08,3:00-3:30pm,2 on Tables 1 and 5,Slightly open door,
2020/11/30,Mon,d06,p02,l01 to l08,3:30-4:00pm,2 on Tables 1 and 5,Slightly open door,
2020/11/30,Mon,d06,p03,l01 to l08,4:30-5:00pm,"3 on Tables 1, 3 and 5",Slightly open door,User on Table 3 also transmitting to device
2020/11/30,Mon,d06,p04,l01 to l08,5:00-5:30pm,2 on Tables 1 and 5,Closed door,
2020/11/30,Mon,d06,p05,l01 to l08,6:00-6:30pm,2 on Tables 1 and 5,Closed door,
2020/12/01,Tue,d07,p01,l01 to l08,3:30-4:00pm,1 on Table 1,Closed door,
2020/12/01,Tue,d07,p02,l01 to l08,4:00-4:30pm,1 on Table 1,Closed door; Box obstruction between TX/RX; Books near RX,
2020/12/01,Tue,d07,p03,l01 to l08,4:30-5:00pm,1 on Table 1,Closed door; Box obstruction between TX/RX; Books near RX,
2020/12/01,Tue,d07,p04,l01 to l08,5:30-6:00pm,2 on Tables 1 and 3,Closed door; Box obstruction between TX/RX; Books near RX,
2020/12/01,Tue,d07,p05,l01 to l08,6:00-6:30pm,2 on Tables 1 and 3,Closed door,
2020/12/02,Wed,d08,p01,l01 to l08,4:00-4:30pm,2 users on Tables 1 and 3,Closed door,
2020/12/02,Wed,d08,p02,l01 to l08,6:30-7:00pm,2 users on Tables 1 and 3,Closed door,
2020/12/02,Wed,d08,p03,l01 to l08,7:00-7:30pm,2 users on Tables 1 and 3,Closed door,
2020/12/07,Mon,d09,p01,l01 to l08,4:00-4:30pm,1 on Table 1,Closed door,
2020/12/07,Mon,d09,p02,l01 to l08,4:30-5:00pm,1 on Table 1,Closed door,
2020/12/07,Mon,d09,p03,l01 to l08,5:30-6:00pm,1 on Table 1,Closed door; Box and chair obstructions between TX/RX,
2020/12/07,Mon,d09,p04,l01 to l08,6:00-6:30pm,1 on Table 1,Closed door; Box and chair obstructions between TX/RX,
2020/12/08,Tue,d10,p01,l01 to l08,2:00-2:30pm,2 on Tables 1 and 5,Closed door,
2020/12/08,Tue,d10,p02,l01 to l08,2:30-3:00pm,2 on Tables 1 and 5,Closed door,
2020/12/08,Tue,d10,p03,l01 to l08,3:00-3:30pm,2 on Tables 1 and 5,Closed door,
2020/12/08,Tue,d10,p04,l01 to l08,3:30-4:00pm,2 on Tables 1 and 5,Closed door,
2020/12/08,Tue,d10,p06,l01 to l08,5:30-6:00pm,2 on Tables 1 and 5,Closed door; Box obstruction,
2020/12/08,Tue,d10,p07,l01 to l08,6:30-7:00pm,2 on Tables 1 and 5,Closed door; Box obstruction,
